"Survived","Pclass","Sex","Age","Embarked","Fare_unit","Alone"
"No Surv","1st","male",42,"Southampton",26.55,"Alone"
"No Surv","2nd","male",30,"Southampton",13,"In company"
"Surv","1st","female",23,"Cherbourg",27.7194333333333,"In company"
"No Surv","3rd","male",33,"Cherbourg",7.8958,"Alone"
"No Surv","3rd","male",60.5,"Southampton",8.6625,"Alone"
"Surv","3rd","female",36,"Southampton",6.09165,"In company"
"No Surv","3rd","male",13,"Southampton",4.48392857142857,"In company"
"No Surv","3rd","male",24,"Southampton",7.55,"Alone"
"Surv","1st","female",29,"Southampton",55.4448,"Alone"
"Surv","3rd","female",23,"Southampton",7.8542,"Alone"
"No Surv","1st","male",42,"Southampton",26.55,"Alone"
"Surv","3rd","female",26,"Southampton",4.59166666666667,"In company"
"Surv","3rd","female",17,"Queenstown",7.7333,"Alone"
"No Surv","3rd","male",7,"Cherbourg",5.08193333333333,"In company"
"Surv","2nd","female",26,"Southampton",13.5,"Alone"
"No Surv","3rd","male",23,"Southampton",7,"Alone"
"No Surv","2nd","male",41,"Southampton",13,"Alone"
"Surv","3rd","female",26,"Southampton",7.34166666666667,"In company"
"No Surv","1st","male",48,"Cherbourg",50.4958,"Alone"
"No Surv","3rd","male",18,"Southampton",6.875,"In company"
"Surv","1st","female",44,"Cherbourg",27.7208,"Alone"
"Surv","3rd","female",22,"Southampton",8.9625,"Alone"
"No Surv","3rd","male",24,"Southampton",7.55,"Alone"
"No Surv","3rd","male",27,"Cherbourg",7.225,"Alone"
"No Surv","3rd","male",23,"Southampton",6.95,"In company"
"No Surv","3rd","male",25,"Cherbourg",7.2292,"Alone"
"No Surv","3rd","male",40,"Southampton",4.48392857142857,"In company"
"Surv","2nd","female",15,"Southampton",13,"In company"
"Surv","2nd","female",20,"Southampton",9.1875,"Alone"
"No Surv","1st","male",54,"Cherbourg",27.72085,"In company"
"Surv","2nd","female",36,"Southampton",9.75,"In company"
"Surv","1st","female",64,"Cherbourg",27.7194333333333,"In company"
"No Surv","2nd","male",30,"Southampton",13,"Alone"
"No Surv","1st","male",37,"Cherbourg",27.7194333333333,"In company"
"Surv","1st","female",18,"Southampton",26.55,"In company"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","1st","female",27,"Cherbourg",82.5069333333333,"In company"
"No Surv","2nd","male",40,"Southampton",16,"Alone"
"Surv","2nd","female",21,"Southampton",10.5,"In company"
"No Surv","3rd","male",17,"Southampton",8.05,"In company"
"Surv","3rd","female",10,"Southampton",6.32272727272727,"In company"
"No Surv","2nd","male",40,"Southampton",13,"Alone"
"No Surv","2nd","male",34,"Southampton",13,"In company"
"No Surv","1st","male",46,"Southampton",26,"Alone"
"No Surv","3rd","male",11.5,"Southampton",4.83333333333333,"In company"
"No Surv","2nd","male",61,"Queenstown",12.35,"Alone"
"No Surv","2nd","male",8,"Southampton",10.8333333333333,"In company"
"No Surv","3rd","male",33,"Southampton",7.8542,"Alone"
"No Surv","1st","male",6,"Cherbourg",26.9,"In company"
"Surv","3rd","female",18,"Southampton",7.775,"Alone"
"No Surv","2nd","male",23,"Southampton",10.5,"Alone"
"Surv","3rd","female",23,"Southampton",8.1125,"Alone"
"Surv","3rd","female",18,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",0.33,"Southampton",4.8,"In company"
"No Surv","1st","male",47,"Cherbourg",45.505,"In company"
"Surv","2nd","female",8,"Southampton",8.66666666666667,"In company"
"No Surv","2nd","male",25,"Southampton",10.5,"Alone"
"No Surv","1st","male",28.5,"Cherbourg",25.7417,"Alone"
"Surv","3rd","female",35,"Queenstown",7.75,"Alone"
"No Surv","2nd","male",24,"Southampton",10.5,"Alone"
"Surv","1st","female",33,"Cherbourg",27.7208,"Alone"
"No Surv","3rd","male",25,"Southampton",7.8958,"Alone"
"No Surv","3rd","male",32,"Southampton",7.50833333333333,"Alone"
"No Surv","3rd","male",23,"Southampton",7.05,"Alone"
"No Surv","2nd","male",17,"Southampton",10.5,"Alone"
"Surv","2nd","female",60,"Southampton",13,"In company"
"Surv","3rd","female",38,"Southampton",7.775,"In company"
"No Surv","1st","male",42,"Southampton",42.5,"Alone"
"Surv","3rd","female",19,"Queenstown",7.8792,"Alone"
"No Surv","1st","male",57,"Southampton",41.216675,"In company"
"Surv","1st","female",50,"Cherbourg",42.3,"In company"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"Surv","2nd","female",30,"Cherbourg",13.8583,"In company"
"No Surv","3rd","male",21,"Southampton",8.05,"Alone"
"Surv","2nd","female",22,"Southampton",10.5,"Alone"
"No Surv","3rd","male",21,"Southampton",7.7958,"Alone"
"Surv","1st","female",53,"Cherbourg",27.4458,"Alone"
"Surv","3rd","female",4,"Cherbourg",5.08193333333333,"In company"
"No Surv","3rd","male",23,"Southampton",7.7958,"Alone"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",40.5,"Southampton",7.55,"Alone"
"No Surv","2nd","male",36,"Southampton",13,"Alone"
"No Surv","2nd","male",14,"Southampton",13,"Alone"
"Surv","1st","female",21,"Southampton",26.55,"Alone"
"No Surv","3rd","male",21,"Southampton",6.4958,"In company"
"No Surv","3rd","male",26,"Queenstown",7.8792,"Alone"
"No Surv","1st","male",39,"Cherbourg",35.64165,"In company"
"No Surv","3rd","male",20,"Southampton",7.8542,"Alone"
"No Surv","1st","male",64,"Cherbourg",37.625,"In company"
"No Surv","3rd","male",20,"Cherbourg",7.225,"Alone"
"Surv","2nd","female",18,"Southampton",13,"In company"
"Surv","1st","female",48,"Cherbourg",35.475,"In company"
"Surv","1st","female",55,"Cherbourg",27.7208,"Alone"
"Surv","2nd","female",45,"Southampton",15,"In company"
"No Surv","1st","male",45,"Cherbourg",26.9,"In company"
"No Surv","3rd","male",26,"Southampton",7.8875,"Alone"
"No Surv","3rd","male",33,"Southampton",5.8625,"In company"
"No Surv","1st","male",41,"Southampton",25.93125,"In company"
"Surv","2nd","female",22,"Southampton",10.5,"Alone"
"No Surv","2nd","male",42,"Southampton",10.8333333333333,"In company"
"Surv","2nd","female",29,"Southampton",13,"In company"
"Surv","3rd","female",14,"Cherbourg",7.2271,"In company"
"Surv","2nd","female",0.92,"Southampton",6.9375,"In company"
"No Surv","3rd","male",20,"Southampton",7.925,"Alone"
"No Surv","1st","male",27,"Cherbourg",68.3896,"In company"
"No Surv","3rd","male",24,"Southampton",9.325,"Alone"
"No Surv","3rd","male",32.5,"Southampton",9.5,"Alone"
"No Surv","3rd","male",24,"Southampton",7.55,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",28,"Southampton",8.05,"Alone"
"Surv","2nd","female",19,"Southampton",13,"Alone"
"No Surv","3rd","male",21,"Southampton",7.775,"Alone"
"No Surv","3rd","male",36.5,"Southampton",8.7,"In company"
"No Surv","3rd","male",21,"Southampton",7.8542,"Alone"
"Surv","2nd","female",29,"Southampton",7.66666666666667,"In company"
"Surv","3rd","female",1,"Southampton",6.09165,"In company"
"No Surv","2nd","male",30,"Cherbourg",12.7375,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","1st","male",40,"Southampton",26.55,"Alone"
"No Surv","3rd","male",24,"Southampton",7.55,"Alone"
"Surv","3rd","female",23,"Southampton",8.05,"Alone"
"No Surv","3rd","male",17,"Southampton",8.6625,"Alone"
"No Surv","1st","male",46,"Cherbourg",37.62085,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","1st","female",26,"Cherbourg",68.3896,"In company"
"Surv","3rd","female",18,"Queenstown",7.75,"In company"
"No Surv","3rd","male",22.5,"Cherbourg",7.225,"Alone"
"Surv","2nd","female",20,"Southampton",13,"In company"
"No Surv","2nd","male",28,"Southampton",10.5,"Alone"
"No Surv","2nd","male",40,"Southampton",13,"In company"
"No Surv","2nd","male",30,"Southampton",10.5,"In company"
"No Surv","2nd","male",22,"Southampton",10.5,"Alone"
"Surv","3rd","female",23,"Southampton",8.6625,"Alone"
"No Surv","3rd","male",0.75,"Southampton",4.59166666666667,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"Surv","3rd","female",9,"Cherbourg",5.08193333333333,"In company"
"Surv","3rd","female",2,"Southampton",6.7375,"In company"
"No Surv","3rd","male",36,"Southampton",7.25,"Alone"
"No Surv","3rd","male",36,"Southampton",7.25,"Alone"
"No Surv","1st","male",24,"Southampton",41.13335,"In company"
"No Surv","3rd","male",25,"Cherbourg",7.2292,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"No Surv","1st","male",47,"Southampton",39.6,"Alone"
"Surv","3rd","female",30,"Queenstown",6.95,"Alone"
"No Surv","3rd","male",25,"Cherbourg",7.2292,"Alone"
"No Surv","1st","male",53,"Southampton",27.2861,"In company"
"No Surv","3rd","male",36,"Southampton",9.5,"Alone"
"No Surv","3rd","male",26,"Southampton",7.8958,"Alone"
"Surv","2nd","female",1,"Cherbourg",10.3948,"In company"
"No Surv","3rd","male",26,"Cherbourg",7.2264,"In company"
"No Surv","1st","male",30,"Southampton",45.5,"Alone"
"No Surv","3rd","male",29,"Southampton",7.8542,"Alone"
"No Surv","3rd","male",32,"Southampton",7.775,"Alone"
"No Surv","2nd","male",27,"Cherbourg",15.0458,"Alone"
"No Surv","2nd","male",43,"Southampton",10.5,"In company"
"No Surv","3rd","male",24,"Southampton",8.6625,"Alone"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"Surv","1st","female",64,"Southampton",26.55,"In company"
"No Surv","1st","male",30,"Southampton",25.2583333333333,"In company"
"No Surv","3rd","male",0.83,"Southampton",4.675,"In company"
"No Surv","1st","male",55,"Southampton",23.375,"In company"
"Surv","3rd","female",45,"Southampton",7.05415,"In company"
"No Surv","3rd","male",18,"Southampton",8.6625,"Alone"
"No Surv","3rd","male",22,"Cherbourg",7.225,"Alone"
"No Surv","3rd","male",32,"Southampton",7.575,"Alone"
"Surv","3rd","female",37,"Queenstown",7.75,"Alone"
"Surv","1st","female",55,"Cherbourg",33.908325,"Alone"
"Surv","3rd","female",17,"Queenstown",7.7333,"Alone"
"No Surv","1st","male",57,"Cherbourg",48.8402666666667,"In company"
"No Surv","2nd","male",19,"Southampton",10.5,"Alone"
"No Surv","3rd","male",27,"Southampton",7.8542,"Alone"
"No Surv","2nd","male",22,"Southampton",10.5,"In company"
"No Surv","3rd","male",26,"Southampton",7.775,"Alone"
"No Surv","3rd","male",25,"Cherbourg",7.2292,"Alone"
"No Surv","2nd","male",26,"Southampton",13,"Alone"
"No Surv","1st","male",33,"Southampton",26.55,"Alone"
"Surv","1st","female",39,"Southampton",52.834375,"Alone"
"No Surv","3rd","male",23,"Southampton",7.05,"Alone"
"Surv","2nd","female",12,"Southampton",9.75,"In company"
"No Surv","1st","male",46,"Cherbourg",39.6,"Alone"
"No Surv","2nd","male",29,"Southampton",13,"In company"
"No Surv","2nd","male",21,"Southampton",13,"Alone"
"Surv","2nd","female",48,"Southampton",9.1875,"In company"
"No Surv","1st","male",39,"Cherbourg",29.7,"Alone"
"No Surv","3rd","male",22.5,"Cherbourg",7.225,"Alone"
"Surv","3rd","female",19,"Cherbourg",5.24723333333333,"In company"
"No Surv","3rd","male",27,"Southampton",7.8958,"Alone"
"No Surv","1st","male",30,"Southampton",26,"Alone"
"No Surv","2nd","male",32,"Southampton",13,"Alone"
"No Surv","3rd","male",39,"Cherbourg",7.2292,"In company"
"No Surv","2nd","male",25,"Southampton",10.5,"Alone"
"No Surv","3rd","male",25,"Cherbourg",7.2292,"Alone"
"No Surv","2nd","male",18,"Southampton",10.5,"Alone"
"No Surv","3rd","male",32,"Southampton",7.5792,"Alone"
"No Surv","3rd","male",40,"Southampton",6.32272727272727,"In company"
"Surv","1st","female",58,"Cherbourg",128.0823,"In company"
"No Surv","3rd","male",11.5,"Southampton",4.83333333333333,"In company"
"Surv","3rd","female",16,"Southampton",7.65,"Alone"
"No Surv","2nd","male",26,"Southampton",13,"Alone"
"Surv","3rd","female",38,"Cherbourg",7.2292,"Alone"
"No Surv","2nd","male",24,"Southampton",13.5,"Alone"
"Surv","2nd","female",31,"Southampton",10.5,"Alone"
"Surv","1st","female",45,"Cherbourg",31.67915,"In company"
"No Surv","2nd","male",25,"Southampton",10.5,"Alone"
"No Surv","2nd","male",18,"Southampton",10.5,"Alone"
"No Surv","2nd","male",49,"Southampton",13,"In company"
"Surv","3rd","female",0.17,"Southampton",5.14375,"In company"
"No Surv","1st","male",50,"Southampton",26,"Alone"
"Surv","1st","female",59,"Southampton",25.7396,"In company"
"No Surv","3rd","male",29,"Southampton",7.8792,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","3rd","female",30,"Southampton",7.775,"In company"
"No Surv","3rd","male",14.5,"Southampton",6.32272727272727,"In company"
"Surv","2nd","female",24,"Cherbourg",12.3347333333333,"In company"
"Surv","2nd","female",31,"Southampton",10.5,"Alone"
"No Surv","3rd","male",27,"Southampton",8.6625,"Alone"
"Surv","1st","female",25,"Cherbourg",27.72085,"In company"
"Surv","3rd","female",33,"Southampton",6.32272727272727,"In company"
"No Surv","3rd","male",26,"Cherbourg",7.22915,"In company"
"Surv","3rd","female",22,"Southampton",5.66964285714286,"Alone"
"Surv","1st","female",45,"Cherbourg",29.7,"In company"
"No Surv","2nd","male",29,"Cherbourg",13.8583,"Alone"
"No Surv","2nd","male",21,"Southampton",11.5,"In company"
"Surv","1st","female",31,"Cherbourg",26.9,"Alone"
"No Surv","1st","male",49,"Southampton",13.275,"Alone"
"No Surv","2nd","male",44,"Southampton",13,"Alone"
"Surv","1st","female",54,"Southampton",27.2861,"In company"
"Surv","1st","female",45,"Cherbourg",37.4821428571429,"Alone"
"Surv","3rd","female",22,"Southampton",8.6625,"In company"
"No Surv","2nd","male",21,"Southampton",11.5,"Alone"
"No Surv","1st","male",55,"Southampton",50,"Alone"
"No Surv","3rd","male",5,"Southampton",4.48392857142857,"In company"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",26,"Queenstown",7.8792,"Alone"
"Surv","3rd","female",18,"Southampton",7.25,"Alone"
"Surv","3rd","female",19,"Southampton",8.05,"In company"
"No Surv","2nd","male",30,"Southampton",12.875,"Alone"
"Surv","2nd","female",24,"Southampton",13,"In company"
"No Surv","3rd","male",24,"Southampton",7.775,"Alone"
"No Surv","2nd","male",57,"Southampton",13,"Alone"
"No Surv","3rd","male",21,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",6,"Southampton",4.215,"In company"
"No Surv","1st","male",23,"Southampton",23.375,"Alone"
"Surv","1st","female",51,"Southampton",19.7,"In company"
"No Surv","3rd","male",13,"Southampton",6.75,"In company"
"No Surv","2nd","male",47,"Southampton",10.5,"Alone"
"No Surv","3rd","male",29,"Southampton",7.34166666666667,"In company"
"Surv","1st","female",18,"Southampton",30,"In company"
"No Surv","3rd","male",24,"Queenstown",7.25,"Alone"
"Surv","1st","female",48,"Cherbourg",39.6,"In company"
"No Surv","3rd","male",22,"Southampton",7.775,"Alone"
"No Surv","3rd","male",31,"Queenstown",7.7333,"Alone"
"Surv","1st","female",30,"Southampton",41.216675,"Alone"
"No Surv","2nd","male",38,"Southampton",10.5,"In company"
"Surv","1st","female",22,"Cherbourg",29.7,"In company"
"No Surv","1st","male",17,"Southampton",23.55,"Alone"
"No Surv","1st","male",43,"Cherbourg",27.7208,"In company"
"No Surv","2nd","male",20,"Cherbourg",13.8625,"Alone"
"No Surv","2nd","male",23,"Southampton",10.5,"In company"
"No Surv","1st","male",50,"Cherbourg",42.3,"In company"
"Surv","3rd","female",17,"Queenstown",7.7208,"Alone"
"Surv","3rd","female",3,"Southampton",4.59166666666667,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"Surv","1st","female",37,"Queenstown",30,"In company"
"Surv","3rd","female",28,"Southampton",7.775,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"Surv","1st","female",39,"Cherbourg",36.3,"Alone"
"No Surv","3rd","male",38.5,"Southampton",7.25,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"No Surv","3rd","male",7,"Cherbourg",7.45276666666667,"In company"
"No Surv","3rd","male",22,"Southampton",7.25,"In company"
"Surv","1st","female",38,"Cherbourg",35.64165,"In company"
"Surv","3rd","female",26,"Southampton",7.925,"Alone"
"Surv","1st","female",35,"Southampton",26.55,"In company"
"No Surv","3rd","male",35,"Southampton",8.05,"Alone"
"No Surv","3rd","male",26,"Queenstown",8.4583,"Alone"
"No Surv","1st","male",54,"Southampton",25.93125,"Alone"
"No Surv","3rd","male",2,"Southampton",4.215,"In company"
"Surv","3rd","female",27,"Southampton",3.7111,"In company"
"Surv","2nd","female",14,"Cherbourg",15.0354,"In company"
"Surv","3rd","female",4,"Southampton",5.56666666666667,"In company"
"Surv","1st","female",58,"Southampton",26.55,"Alone"
"No Surv","3rd","male",20,"Southampton",8.05,"Alone"
"No Surv","3rd","male",39,"Southampton",4.46785714285714,"In company"
"No Surv","3rd","female",14,"Southampton",7.8542,"Alone"
"Surv","2nd","female",55,"Southampton",16,"Alone"
"No Surv","3rd","male",2,"Queenstown",4.85416666666667,"In company"
"Surv","2nd","male",34,"Southampton",13,"Alone"
"No Surv","3rd","female",31,"Southampton",9,"In company"
"Surv","3rd","female",18,"Cherbourg",7.225,"Alone"
"No Surv","2nd","male",35,"Southampton",13,"Alone"
"Surv","2nd","male",34,"Southampton",13,"Alone"
"Surv","3rd","female",15,"Queenstown",8.0292,"Alone"
"Surv","1st","male",28,"Southampton",35.5,"Alone"
"No Surv","3rd","female",8,"Southampton",4.215,"In company"
"Surv","3rd","female",38,"Southampton",4.48392857142857,"In company"
"No Surv","3rd","male",22.5,"Cherbourg",7.225,"Alone"
"No Surv","1st","male",19,"Southampton",43.8333333333333,"In company"
"Surv","3rd","female",19,"Queenstown",7.8792,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","1st","male",40,"Cherbourg",27.7208,"Alone"
"Surv","1st","female",26,"Cherbourg",48.8402666666667,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","2nd","male",66,"Southampton",10.5,"Alone"
"No Surv","1st","male",28,"Cherbourg",41.0854,"In company"
"No Surv","1st","male",42,"Southampton",26,"In company"
"Surv","3rd","male",22,"Cherbourg",7.2292,"Alone"
"No Surv","3rd","male",21,"Southampton",8.05,"Alone"
"No Surv","3rd","female",18,"Southampton",9,"In company"
"Surv","3rd","female",14,"Cherbourg",5.62085,"In company"
"No Surv","3rd","female",40,"Southampton",9.475,"In company"
"No Surv","2nd","female",27,"Southampton",10.5,"In company"
